Item,Purpose,Price,Quantity,Source
Nice!Nano V2.0,Micro controller,$1.95,1,Aliexpress
Nice!Nano V2.0,Micro comtroller,$2.81,1,Aliexpress
M2 6mm screws,securing the pcb,$1.37,x10,Aliexpress
M2xL3xOD3.2 heat inserts,for the screws,$0.99,x10,Aliexpress
Gateron Milky Switches,switches,$6.91,x36,Aliexpress
SK6812 MINI-E RGB,RGB,$3.61,x36,Aliexpress
Hotswap Sockets,sockets for switches,$1.33,x36,Aliexpress
Horizontal Microswitch,reset button,$2.04,x2,Aliexpress
PH 2.0 Horizontal Header Socket,for the battery,$1.80,x2,Aliexpress
SS12D00G3 Toggle Switch,battery on/off,$0.92,x2,Aliexpress
IN4148 SOD-123,diodes,$2.08,x36,Aliexpress
3.7V 110mAh Polymer Lithium Battery,Battery,$9.72,x2,Aliexpress
PCB,connect everything together,$9.60,x2,JLCPCB
Case,cover,,,3d Printed
Aliexpress Subtotal,,$36.66,,
JLC Subtotal,,$9.60,,
shipping+tax,,+$12.24,,
Total:,,$58.50,,

